TopLeftLat,TopLeftLon,BottomRightLat,BottomRightLon,WeightPrice,WeightSqr,Price,PriceSqr,Hits,PointsForSqrPriceInterval,PointsForPriceInterval,PointsForZoom,PointsForDays,PointsForHits,PointsForDistance,SumPointsPrice,SumPointsSqr
59.415335,17.868951,59.413335,17.873950999999998,4,3,2370000,43000,14,25,30,0,-5,20,20,65,60
59.415335,17.873950999999998,59.413335,17.878950999999997,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,17.878950999999997,59.413335,17.883950999999996,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,17.883950999999996,59.413335,17.888950999999995,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,17.888950999999995,59.413335,17.893950999999994,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,17.893950999999994,59.413335,17.898950999999993,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,17.898950999999993,59.413335,17.903950999999992,1,1,1740000,27000,6,35,35,-60,-5,10,20,0,0
59.415335,17.903950999999992,59.413335,17.90895099999999,4,3,1830000,30000,21,15,30,0,-5,20,20,65,50
59.415335,17.90895099999999,59.413335,17.91395099999999,4,4,1810000,34000,10,15,30,0,20,20,20,90,75
59.415335,17.91395099999999,59.413335,17.91895099999999,3,4,1910000,36000,11,30,25,0,-5,20,20,60,65
59.415335,17.91895099999999,59.413335,17.923950999999988,1,1,1860000,33000,28,15,25,-60,-5,20,20,0,-10
59.415335,17.923950999999988,59.413335,17.928950999999987,4,3,1750000,31000,10,25,35,0,-5,20,20,70,60
59.415335,17.928950999999987,59.413335,17.933950999999986,1,1,1800000,34000,21,15,25,-60,-5,20,20,0,-10
59.415335,17.933950999999986,59.413335,17.938950999999985,1,1,2200000,46000,4,35,35,-60,-5,0,20,-10,-10
59.415335,17.938950999999985,59.413335,17.943950999999984,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,17.943950999999984,59.413335,17.948950999999983,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,17.948950999999983,59.413335,17.953950999999982,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,17.953950999999982,59.413335,17.95895099999998,1,1,2120000,40000,2,-5,30,-60,-5,-40,20,-55,-90
59.415335,17.95895099999998,59.413335,17.96395099999998,1,1,2120000,40000,2,-5,30,-60,-5,-40,20,-55,-90
59.415335,17.96395099999998,59.413335,17.96895099999998,1,1,2700000,44000,10,35,35,-60,-5,20,20,10,10
59.415335,17.96895099999998,59.413335,17.97395099999998,1,1,2700000,44000,10,35,35,-60,-5,20,20,10,10
59.415335,17.97395099999998,59.413335,17.978950999999977,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,17.978950999999977,59.413335,17.983950999999976,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,17.983950999999976,59.413335,17.988950999999975,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,17.988950999999975,59.413335,17.993950999999974,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,17.993950999999974,59.413335,17.998950999999973,1,1,2490000,44000,1,40,40,-60,-5,-100,20,-105,-105
59.415335,17.998950999999973,59.413335,18.003950999999972,1,1,2610000,45000,5,40,30,-60,-5,10,20,-5,5
59.415335,18.003950999999972,59.413335,18.00895099999997,1,1,2530000,45000,12,30,30,-60,-5,20,20,5,5
59.415335,18.00895099999997,59.413335,18.01395099999997,1,1,2480000,45000,8,30,30,-60,-5,10,20,-5,-5
59.415335,18.01395099999997,59.413335,18.01895099999997,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,18.01895099999997,59.413335,18.02395099999997,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,18.02395099999997,59.413335,18.028950999999967,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,18.028950999999967,59.413335,18.033950999999966,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,18.033950999999966,59.413335,18.038950999999965,0,0,0,0,0,0,0,0,0,0,0,0,0
59.415335,18.038950999999965,59.413335,18.043950999999964,0,0,0,0,0,0,0,0,0,0,0,0,0
